NODEID,坐标X,坐标Y,地面高,R,gridcode
WS02003069,582015.7858,3496040.4556,9.345,700,528744
WS02003072,581989.7842,3495969.8816,9.341,700,551707
WS02003073,581974.5015,3495930.5192,9.555,800,568787
WS02003074,581974.5015,3495930.5192,9.366,700,568787
WS02003060,582043.5962,3496116.2524,9.322,700,505014
WS02003066,581990.7331,3496129.37,9.914,730,496187
WS02003115,581200.6449,3496497.5443,9.624,700,367760
WS02003116,581213.2106,3496462.3476,9.741,700,379383
WS02003118,581192.1232,3496421.2465,9.784,800,391500
WS02003215,581204.237,3496485.8036,9.662,700,369298
WS02003110,581187.6359,3496546.8005,9.794,800,347594
WS02003111,581194.0123,3496521.1841,9.478,700,357677
WS02005134,581259.7155,3496998.9887,9.515,700,191662
WS02005155,581182.172,3496572.6563,9.969,700,344263
WS02005154,581185.231,3496608.1041,10.304,700,325641
WS02005193,582279.3333,3497478.3891,11.037,700,32478
WS02005196,582247.2122,3497490.5786,11.156,700,31370
WS02003067,581984.711,3496165.3572,9.54,730,484568
WS02004401,582059.5588,3496591.8816,8.66,800,338974
WS02004402,582027.9538,3496581.9477,8.7,800,340238
WS02004403,582006.4416,3496553.5935,8.96,800,350819
WS02004404,581995.7321,3496532.0894,9.63,800,360638
WS02004406,581978.9365,3496472.9392,9.28,800,382325
WS02004409,581968.1141,3496379.5164,9.13,800,415120
WS02004410,581965.5508,3496331.519,9.26,800,428271
WS02004411,581963.3709,3496288.6928,9.21,800,440910
WS02004412,581959.4483,3496242.474,8.95,800,460812
WS02004413,581977.7181,3496202.6428,8.67,800,472949
WS02004405,581992.2294,3496515.6433,9.65,800,362684
WS02006109,582148.8383,3496860.7222,9.258,800,252490
WS02006110,582148.4381,3496810.956,9.345,800,265232
WS02006111,582136.3056,3496720.4728,9.387,800,297992
WS02006112,582132.3435,3496688.5383,8.563,800,309094
WS02006113,582141.9649,3496766.855,9.623,700,277425
WS02006115,582118.0173,3496637.2368,9.399,800,319099
WS02006116,582101.4505,3496604.2425,9.39,800,337459
WS02006230,582180.2591,3496965.4892,9.395,800,210092
WS02006231,582198.3792,3497000.5536,9.363,800,198815
WS02006232,582214.9024,3497031.8602,9.219,800,187719
WS02006234,582215.4428,3497073.2698,9.117,800,175706
WS02006235,582215.6963,3497101.914,9.164,700,164966
WS02006238,582215.7251,3497110.4654,9.294,800,164238
WS02006240,582216.2952,3497187.3529,9.393,800,132564
WS02006242,582232.5506,3497230.3836,8.819,800,120558
WS02006243,582259.7856,3497269.1498,8.9,800,108740
WS02006245,582279.7931,3497305.2371,9.045,800,97282
WS02006247,582293.6345,3497328.3702,8.97,800,87095
WS02006248,582305.1392,3497357.4708,8.687,800,76179
WS02006249,582307.0776,3497380.547,8.688,800,65986
WS02006239,582216.0269,3497149.9814,9.239,800,144214
WS02006251,582303.5288,3497431.7633,9.88,800,53060
WS02006253,582298.8629,3497459.2884,11.164,800,42317
WS02004407,581967.5199,3496418.6881,9.653,800,396240
WS02006228,582153.1748,3496903.891,9.681,1500,232105
WS02006229,582161.3789,3496927.439,9.944,1500,221733
WS02006280,582151.5484,3496930.8124,10.101,630,221546
WS02006284,582116.3911,3496938.9583,10.479,630,217626
WS02006287,582079.9948,3496949.0531,10.845,730,216328
WS02003091,581525.035,3496079.5923,10.227,800,512531
WS02003203,581511.573,3496085.8909,9.824,800,511756
WS0200404049,581805.1608,3496455.7897,11.784,700,384287
WS6145,581846.8847,3496353.5038,10.555,800,418387
WS6147,581837.0857,3496325.1938,10.574,800,428975
WS6150,581828.1296,3496296.598,10.58,800,439818
WS6152,581818.3613,3496267.5427,10.537,800,450405
WS6155,581808.8268,3496240.2822,10.497,800,460992
WS6156,581799.4744,3496210.7917,10.516,800,471836
WS6136,581850.9683,3496440.8677,10.848,800,393366
WS6140,581865.0945,3496411.1583,10.588,800,403965
WS6142,581856.308,3496382.4506,10.526,800,407800
WS6325,581879.7689,3496454.7551,10.752,800,384580
WS6327,581887.6096,3496484.0329,10.813,800,373736
WS6329,581894.5787,3496512.5385,10.784,800,363147
WS6332,581902.2858,3496542.008,10.733,800,352303
WS6158,581790.257,3496182.4583,10.594,800,482423
WS6335,581909.6947,3496571.1323,10.673,800,348467
WS6338,581917.2039,3496600.5721,10.75,800,337879
WS6340,581924.8792,3496628.5941,10.836,800,327290
WS6342,581931.5977,3496658.0279,11.102,800,316446
WS6135,581872.7916,3496432.734,10.646,800,394400
WS6396,581910.6807,3496423.396,10.251,800,395443
WS6399,581946.334,3496413.753,9.932,800,396741
WS02003082,581800.3031,3495955.5294,9.712,800,560412
WS02003077,581934.5225,3495936.0901,9.732,700,563039
WS02003080,581889.6984,3495942.6477,9.676,800,562249
WS02003083,581749.0809,3495952.9924,9.103,800,560899
WS02003084,581718.7676,3495956.4097,10.279,700,560371
WS02003085,581698.3033,3495966.9003,9.512,800,552073
WS02003086,581661.9779,3495981.2705,9.573,800,550007
WS02003087,581623.2216,3495994.7619,9.525,800,548452
WS02003088,581585.9023,3496005.5353,9.43,700,536049
WS02003089,581556.4625,3496037.3689,9.803,700,524930
WS02003090,581538.8953,3496056.5591,9.863,800,522617
WS02003081,581841.0998,3495949.5287,9.654,800,561201
WS02003122,581171.611,3496355.7721,9.651,700,413954
WS02003187,581169.0215,3496323.4256,9.44,800,425057
WS02003188,581191.6533,3496277.4319,9.228,800,444972
WS02003190,581213.8647,3496241.284,9.036,800,456599
WS02003193,581253.6212,3496215.3295,9.089,700,466955
WS02003195,581304.0063,3496207.6017,9.183,700,468004
WS02003196,581353.772,3496196.9777,9.49,700,469565
WS02003198,581394.9213,3496184.3458,10.064,800,478129
WS02003199,581410.7578,3496184.43,10.149,800,478137
WS02003200,581462.3867,3496138.3785,9.733,800,491059
WS02003201,581463.6543,3496128.059,9.357,800,492340
WS02003202,581483.9398,3496113.6817,10.233,800,501150
WS6400,581965.7056,3496390.3091,10.336,750,406831
WSA6400,581954.9329,3496393.9618,10.859,750,406313
WS8802,582043.5962,3496116.2524,9.322,750,505014
WSF208,581964.6522,3496362.2582,10.0914,700,417422
WSF207,581959.3581,3496336.2841,10.7357,700,427756
WSF206,581955.2591,3496305.3842,10.6814,800,438602
WSF205,581952.5759,3496273.9547,10.702,800,449704
WSF204,581959.4892,3496236.5315,9.954,700,461580
WSF203,581975.9858,3496189.2519,10.5077,800,474484
WSF202,581979.2825,3496158.831,10.6273,800,485590
WSF201,581982.4485,3496128.6356,10.3254,700,496439
WSF200,582006.7037,3496126.565,9.5828,750,496707
YS02003449,581970.4478,3495937.7402,9.166,700,562801
YS02003912,581975.5134,3495943.1072,9.291,700,562036
YS02005679,582216.0608,3497475.2472,11.143,700,32628
YS02005559,581437.0801,3497154.2526,11.029,700,136743
YS02005593,581166.6337,3496793.6881,9.321,700,266783
YS02005651,581947.7873,3497408.5999,11.89,700,52262
YS02005670,582125.8952,3497451.2783,11.436,700,39711
YS02005547,581536.3006,3497229.8123,11.757,700,113048
YS02005549,581541.3599,3497217.4662,11.78,700,114587
YS02005550,581512.4928,3497205.0776,11.587,700,123372
YS02005551,581506.9347,3497217.2025,11.571,700,114569
YS02005552,581500.054,3497231.4453,9.556,700,112774
YS02005553,581484.3887,3497189.9748,11.39,700,125150
YS02005554,581477.7085,3497201.5945,11.369,700,123611
YS02005556,581460.1721,3497172.1109,11.195,700,134450
YS02005557,581453.1182,3497183.4788,11.196,700,125903
YS02005558,581443.9068,3497201.5838,9.442,700,123594
YS02005560,581429.0928,3497164.8661,10.993,700,135459
YS02005561,581413.6137,3497186.9388,9.441,700,125627
YS02005562,581414.6731,3497136.8663,10.857,700,146043
YS02005563,581406.4989,3497147.3538,10.864,700,144503
YS02005564,581388.7228,3497166.4474,9.497,700,135182
YS02005565,581386.9914,3497112.1436,10.638,700,156110
YS02005566,581377.4478,3497121.5935,10.602,700,147817
YS02005567,581362.5648,3497136.8277,9.505,700,146017
YS02005568,581362.8225,3497084.6268,10.441,700,166689
YS02005569,581352.8443,3497093.5123,10.445,700,158396
YS02005570,581338.1624,3497105.967,9.517,700,156853
YS02005596,581168.6465,3496752.9922,9.336,700,279168
YS02005598,581203.0705,3496715.5179,10.908,700,290802
YS02005600,581193.5007,3496679.6382,10.681,700,302413
YS02005602,581184.4855,3496645.3234,10.433,700,313768
YS02005603,581178.0215,3496613.1142,10.255,700,324869
YS02005606,581156.195,3496617.3645,9.413,700,324346
YS02005609,581174.5259,3496574.4843,9.922,700,336995
YS02005610,581152.271,3496576.9048,9.273,700,336728
YS02005652,581941.7896,3497433.8435,9.404,700,48931
YS02005653,581979.9961,3497402.2296,11.838,700,60054
YS02005654,581976.995,3497415.3045,11.804,700,51253
YS02005655,581975.0481,3497429.9777,11.197,700,49460
YS02005555,581468.5123,3497216.6068,9.411,700,114806
YS02005595,581211.8414,3496748.7068,11.043,700,279702
YS02005607,581156.195,3496617.3645,9.4,700,324346
YS02005657,581972.711,3497435.1207,9.37,700,48690
YS02005658,582009.2657,3497409.0283,11.757,700,52293
YS02005659,582006.2651,3497422.0094,11.708,700,50499
YS02005660,582003.198,3497435.8024,9.475,700,48706
YS02005661,582038.2216,3497416.1065,11.639,700,51283
YS02005662,582034.9084,3497429.1173,11.639,700,49489
YS02005663,582032.859,3497439.2602,9.482,700,41200
YS02005664,582066.7304,3497425.1507,11.613,700,50017
YS02005665,582063.8538,3497438.3198,11.585,700,41472
YS02005666,582061.9363,3497447.0575,9.46,700,40447
YS02005668,582090.1054,3497448.9773,11.403,700,40205
YS02005667,582096.1012,3497436.792,11.506,700,48752
YS02005571,581342.849,3497055.2251,10.403,700,170263
YS02005572,581331.6277,3497062.7923,10.385,700,169490
YS02005574,581314.76,3497075.0488,9.52,700,167945
YS02005575,581314.76,3497075.0488,9.505,700,167945
YS02005576,581319.2318,3497017.183,10.486,700,189132
YS02005577,581307.9505,3497024.2501,10.514,700,181350
YS02005578,581287.0759,3497038.1738,9.397,700,179548
YS02005579,581296.178,3496978.9251,10.744,700,201248
YS02005580,581284.2769,3496984.9894,10.741,700,200474
YS02005581,581259.7155,3496998.9887,9.518,700,191662
YS02005582,581280.115,3496942.0763,10.94,700,212856
YS02005583,581267.6585,3496946.732,10.955,700,212338
YS02005584,581241.1807,3496956.5981,9.515,700,211045
YS02005612,581170.6199,3496555.6896,9.719,700,346305
YS02005613,581151.9977,3496556.3163,9.342,700,346296
YS02005615,581601.7759,3497243.2563,11.96,700,111289
YS02005616,581597.0283,3497255.7289,11.921,700,102743
YS02005617,581590.0664,3497273.7825,9.459,700,100435
YS02005618,581638.7487,3497259.0589,11.997,700,106347
YS02005619,581633.627,3497271.3734,11.95,700,104553
YS02005621,581668.4887,3497271.8267,11.998,700,104570
YS02005622,581662.9303,3497284.014,11.974,700,96023
YS02005623,581658.7458,3497296.3333,9.297,700,94485
YS02005625,581689.9273,3497295.55,11.996,700,94501
YS02005626,581684.7454,3497307.3956,9.323,700,92962
YS02005627,581725.3459,3497297.0994,12.02,700,94263
YS02005628,581719.2267,3497308.9716,11.991,700,92980
YS02005629,581713.9237,3497320.0357,9.258,700,84433
YS02005630,581754.3866,3497312.3004,11.963,700,85477
YS02005631,581747.5825,3497323.7007,11.903,700,83938
YS02005632,581741.8397,3497335.2624,9.289,700,82399
YS02005633,581771.961,3497321.4155,11.988,700,84206
YS02005634,581765.2185,3497333.0036,11.895,700,82923
YS02005636,581809.29,3497340.9999,11.947,700,81921
YS02005637,581802.2366,3497352.274,11.893,700,73373
YS02005638,581793.0987,3497368.1301,9.558,700,71321
YS02005639,581834.6539,3497354.2772,11.95,700,73133
YS02005640,581827.7248,3497365.6768,11.918,700,71594
YS02005641,581819.7276,3497378.2897,9.575,700,63046
YS02005642,581853.7117,3497379.3321,11.939,700,62807
YS02005643,581842.5672,3497396.6466,9.436,700,60753
YS02005644,581892.4378,3497381.6788,11.981,700,62570
YS02005645,581889.624,3497394.7858,11.958,700,61033
YS02005646,581892.395,3497428.3201,9.418,700,49674
YS02005647,581921.581,3497388.7893,11.921,700,61817
YS02005648,581918.6422,3497401.8956,11.874,700,60023
YS02005649,581912.8829,3497429.4521,9.5,700,49428
YS02005650,581950.7258,3497395.556,11.909,700,60807
YS02005620,581626.7479,3497285.3038,9.322,700,95749
YS02005671,582119.4005,3497463.2737,11.353,700,38172
YS02005672,582114.0479,3497471.7445,9.245,700,30137
YS02005673,582155.8143,3497465.734,11.335,700,41700
YS02005674,582149.1955,3497477.5726,11.292,700,32413
YS02005675,582144.6492,3497487.2345,9.339,700,31500
YS02005676,582185.2056,3497473.2204,11.232,700,32795
YS02005678,582179.2284,3497506.9615,9.413,700,21688
YS02005680,582216.9946,3497488.5913,11.12,700,31537
